zipcode address cityState neighborhood price type beds baths built space lot_space price_sqft Average_Listing_Price_for_zip Median_Sale_Price_for_zip Average_price_sqft_for_zip description
90025,1822 Overland Ave,"Los Angeles, CA ",West Los Angeles,"$2,295,000",Multi-Family,,,Built in 1938,"2,342 sqft",6756 sqft lot size,$980/sqft,"$1,231,769","$910,000",$641/sqft,"Rare owner user / development property in prime Westerly location. Property Scheduled to be delivered vacant upon close of escrow. Seller would consider a short-term lease back following close of escrow (terms to be agreed upon). Ground floor unit (2+2) approximately 1,300 SF/ Second floor unit (2+1) approximately 1,200 SF. DO NOT DISTURB OCCUPANTS."
90020,3223 W 6th St #201,"Los Angeles, CA ",Wilshire Center / Koreatown,"$679,000",,,2 Baths,Built in 2009,"1,600 sqft",,$424/sqft,"$2,059,745","$537,000",$505/sqft,"the summit on 6th is a luxury condominium located in mid-wilshire north of koreatown. the subject unit consists one bedroom, one full bath and one half bath, inside laundry, kitchen with granite counter, center island, upgraded cabinetry, and stainless steel appliances. living/family room combination has views to north, bamboo hardwood floors, designers light fixtures. master bedroom has views and has a walk-in closet, large master bathroom with tile/travertine tub, shower enclosure, granite counter top and upgraded cabinetry. facility offers golf simulator, state of the art gym, sauna, 24/7 security guard and private concierge service. plenty of restaurants, shops, and public transportation are just outside the door and numerous entertainment and nightlife places abound. owner needs to rent back until november, 2018."
90068,3548 Multiview Dr,"Los Angeles, CA ",Studio City,"$2,449,000",Single-Family Home,3 Beds,4 Baths,Built in 2017,"3,286 sqft",,$745/sqft,"$2,229,013","$1,281,000",$715/sqft,"Brand New Construction Italian Mediterranean private and gated Hollywood Hills home with spectacular city light and Hollywood hills VIEW . Mediterranean style with a modern touches built to perfection. Open spacious floor plan, Oversized Gourmet Kitchen outfitted with Viking appliances . Lower level offers three en-suite. You will enjoy the panoramic views from every room. Indoors and outdoors from the beautiful and expansive travertine tiled deck around the salt water pool & spa .This home equipped with all advanced amenities including a sophisticated security system, built-in audio, fire sprinklers, drip irrigation and smart home features allowing local, remote and programmable control of all of the home's electronic and security systems. Large 2 car garage plus additional parking. There are exotic hardwood floors throughout the house. The luxurious master bedroom takes full advantage of the spectacular views. You won't find anything comparable in this price range . Minutes to Hollywood, Sunset strip, Universal city. --"
90026,264 S Union Ave,"Los Angeles, CA ",Westlake,"$1,175,000",,7 Beds,,Built in 1901,"1,573 sqft",7008 sqft lot size,$747/sqft,"$1,279,837","$965,000",$791/sqft,"Westlake LAR3 Development site for 12 unit Density Bonus Apartment 11,471 building with spectacular downtown, Hollywood sign and observatory views. This is rare development opportunity in the rapidly developing Westlake area close to Downtown, Echo Park and Silverlake. The building has 8 2/1's and 2 1/1 units. Great rooftop deck to capture what will be incredible views.The building has 11 parking spots in a semi subterranean garage. Only one unit is very low income. The soils have been approved and plans have been submitted to city. The project is being sold with plans submitted with the buyer being responsible of getting the project to approval.The existing home has been demoed with final demo permit approval. We can share a drop box link with plans and other pertinent information"
90014,215 W 7th St #1102,"Los Angeles, CA ",Downtown,"$565,000",,,,Built in 1911,780 sqft,,$724/sqft,"$1,176,098","$485,500",$687/sqft,"Own a piece of LA history! This 11th floor, charming and bright east facing corner unit in the historic Bartlett building is the perfect home for those looking for vibrant urban living in the center of the city. Enjoy the morning sun flooding through the unit's 8 oversized historical windows while enjoying a gorgeous view over the Bunker Hill skyline and Spring Street. The unit has been freshly painted and is move-in ready! Take advantage of the building's Mills Act approval, which allows the new owners to save big on property taxes. The Bartlett building offers a 24/7 front desk and security, and a rooftop to relax and to admire the building's 360 degree view of Downtown. This is the perfect place to unwind and enjoy LA's beautiful sunsets, or to simply entertain your friends! This beautiful Beaux Art building couldn't be more centrally located, with Whole Foods, the new Nomad Hotel, Bottega Louie, Grand Central Market, The Spring Arcade and a Metro station all nearby."
90020,433 S Manhattan Pl #215,"Los Angeles, CA ",Greater Wilshire / Hancock Park,"$499,900",,2 Beds,2 Baths,Built in 1985,849 sqft,,$589/sqft,"$2,059,745","$537,000",$505/sqft,"Best location with close proximity to all the amenities of Koreatown. Adjacent to Hancock Park, 2 bedrooms and 2 baths, huge master bed room with walk-in closet, large balcony, walking distance to market, subway station, shopping malls and diverse restaurants, laundry is conveniently located in unit, low HOA, central location with close proximity to Larchmont Village, Miracle Mile and Koreatown with easy access to freeways."
90035,6125 Horner St,"Los Angeles, CA ",Pico - Robertson,"$4,495,000",Multi-Family,18 Beds,16 Baths,Built in 1959,"10,466 sqft",10214 sqft lot size,$429/sqft,"$1,893,480","$1,315,000",$799/sqft,-Excellent Unit Mix with Large Units & Rental Upsides -Great Location Close to Pico & La Cienega Boulevard -Some Units Have Balconies -Secure Building; On-Site Parking & Laundry
90028,6250 Hollywood Blvd #10G,"Los Angeles, CA ",Hollywood,"$1,445,000",,2 Beds,3 Baths,Built in 2009,"1,720 sqft",,$840/sqft,"$1,637,280","$742,500",$616/sqft,"RARE 2 BEDROOM WITH DIRECT NORTH VIEWS TO CAPITOL RECORDS, PANTAGES THEATRE - INCLUDES FURNISHINGS - At the posh W Residences Hollywood, this 2 Bed, 3 Bath is over 1700 Square Feet & there's also a balcony with access off the living room & 2nd bdrm. Live in one of the most Most Exclusive, Luxury Buildings in Los Angeles with their signature Whenever/Whatever Service that includes access to Bliss Spa, Room Service, Housekeeping, Security, Concierge, $1M Upgraded Resident Only 1/2 Acre Rooftop, Dog Park, Fitness Center, 2 BBQ Areas & More! Truly a Special Residence with amazing walkability score, famous landmarks, cultural activities, the famous Cinerama Dome & the list goes on. There will never be a lack of things to do. 2 Parking Spots, Self Park or Valet. Agent Remarks."
90062,1715 W 58th St,"Los Angeles, CA ",,"$352,000",Multi-Family,,,Built in 1924,"1,576 sqft",4878 sqft lot size,$223/sqft,"$495,331","$497,500",$394/sqft,Nice duplex
90044,522 W 92nd St,"Los Angeles, CA ",,"$290,000",Single-Family Home,4 Beds,,Built in 1908,"1,296 sqft",6773 sqft lot size,$224/sqft,"$454,675","$399,000",$360/sqft,"Nice home needs TLC,Lot is a LARD 1.5"
90002,8731 S Fir Ave,"Los Angeles, CA ",Florence-Graham,"$420,000",Single-Family Home,4 Beds,2 Baths,Built in 1924,"1,224 sqft",6716 sqft lot size,$343/sqft,"$336,774","$336,000",$335/sqft,First time on market in 44 years. 4 bedroom and 2 full baths. Large Backyard. 2 Car Detached Garage/Alley access.
90059,2101 E 112th St,"Los Angeles, CA ",Watts,"$300,000",Single-Family Home,3 Beds,2 Baths,Built in 1986,"1,159 sqft",,$259/sqft,"$368,948","$344,750",$319/sqft,"Welcome to this Los Angeles Property. This home features open floor plan, crown molding, title flooring and ceiling fan. Spacious kitchen with lots of cabinet space. Securely fenced with drive way that can park 2 cars. Walking distance to Grape St Elementary School. Conveniently close to freeway and shopping. Don't let this opportunity pass you by."
90062,1515 W 41st Pl,"Los Angeles, CA ",,"$289,999",Single-Family Home,2 Beds,,Built in 1924,725 sqft,1655 sqft lot size,$400/sqft,"$495,331","$497,500",$394/sqft,"Property is located South of Martin Luther King Jr and West of Normandie. 2 bedroom and 1bathroom only minutes from USC. Property is being sold as-is. Title only shows a 1 bedroom, buyer and buyers agent to do their due diligence."
90034,5861 Ernest Ave,"Los Angeles, CA ",Palms,"$1,950,000",Multi-Family,10 Beds,10 Baths,Built in 2017,836 sqft,5009 sqft lot size,"$2,333/sqft","$1,480,964","$1,177,500",$766/sqft,"Brand new ultra modern NON Rent control building with in walking distance to Culver City Art's district. All units are town house style 3 stories with attached enclosed garages. This is a great opportunity for owner occupant or investor. At an estimated cap rate of 5.51 this is a bargain. The property is located in a cul de sac street. All units have custom kitchen cabinetry, quartz counter tops, laminate floors through out, tiled bathrooms, central air and heat, all stainless steel appliances and washer dryer hookups in each unit. Most of the windows are casement. All units are separately metered for Water, Gas and Electricity. The property is located with in few miles from Beverly Hills, Down town LA, metro rail, LAX and some of the best restaurants in Culver City. These buildings hardly come on the market. The property is currently vacant and rents are estimates."
90019,1758 S Fairfax Ave,"Los Angeles, CA ",Mid City,"$1,195,000",Single-Family Home,3 Beds,3 Baths,Built in 1948,"1,603 sqft",5057 sqft lot size,$745/sqft,"$1,281,647","$1,050,000",$631/sqft,"Another beautiful rehab completed by Aquario Investment Group. No expense was spared on this beautiful 3 bedroom, 3 bath remodeled home, located in the Beverlywood Area of Los Angeles. Dual pane windows provide tons of natural light throughout the home. Brand new central AC and heating systems will keep this beautiful home at the perfect temperature throughout the year. The gorgeous kitchen, perfect for any budding chef, features an abundance of new white shaker cabinets, beautiful granite countertops, carrara marble backsplash and brand new top of the line stainless steel appliances. This kitchen opens up to the dining room. The living room includes a beautiful fireplace perfect for those rainy winter days. The large master bedroom has a large closet and an en-suite bathroom. all three bathrooms have been beautifully appointed with new vanities, top of the line fixtures, low flow toilets and custom tile work throughout. The front and backyard have been stunningly landscaped and include an automated sprinkler system. This house is just stunning!"
